Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.6250000000	-0.3801791640	0.2270629498	0.0677282865	0.0040377428	0.7063619775	499.8860413000
0.6666666667	-0.4044129487	0.2574324227	0.0688533261	0.0046537182	0.7696086325	593.3301634667
0.7142857143	-0.4323502670	0.2938358231	0.0694513601	0.0055458022	0.8445359050	714.3852495000
0.7692307692	-0.4641978518	0.3409522108	0.0701420558	0.0069631501	0.9339983475	873.6340918833
0.8333333333	-0.5021775940	0.4158249480	0.0701748132	0.0095759121	1.0434813283	1090.3193548333
0.9090909091	-0.5490989385	0.5377485967	0.0695765068	0.0158461805	1.1809990350	1396.4840213333
1.0000000000	-0.6176770300	0.8770930332	0.0673147850	0.0378819934	1.3676770300	1872.7955955000
1.1111111110	-0.7141890143	0.9136390091	0.0626277583	0.0886772414	1.6268766825	2649.2780890000
1.2500000000	-0.7905360940	0.6182192306	0.0578191583	0.1293247643	1.9256701175	3710.7559186667
1.4285714290	-0.8415493277	0.4011014343	0.0535515083	0.1557959460	2.2736418967	5172.1281611667
