Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.9708737864	-0.5861053752	0.6977511336	0.0685623848	0.0172074617	1.2971896847	2909.7050593333
0.9900990099	-0.6008534878	0.7869304818	0.0681158773	0.0219657997	1.3374787010	3093.2588293333
1.0101010100	-0.6177879703	0.8896275352	0.0675906762	0.0288636836	1.3816040103	3300.7322156667
1.0309278350	-0.6367893343	1.0039593684	0.0663703147	0.0381293285	1.4296797260	3534.4416180000
1.0526315790	-0.6574590728	1.0597868393	0.0657540398	0.0494541588	1.4815358663	3795.4160380000
1.0752688170	-0.6786643872	1.0076866995	0.0645335638	0.0614632962	1.5361982660	4080.4629773333
1.0989010990	-0.6990462448	0.9871699763	0.0636039536	0.0730962738	1.5923585107	4384.1088883333
1.1235955060	-0.7178303857	0.9205034909	0.0624881485	0.0841356489	1.6492476243	4702.7628016667
1.1494252870	-0.7357624333	0.8457443231	0.0613035999	0.0939971993	1.7077729120	5042.2480833333
1.1764705880	-0.7519236097	0.7681617584	0.0603863664	0.1025513956	1.7669689523	5397.6631126667
