Beta	Energy	Specific Heat	Uniform Susceptibility	Magnetization^2	Number of H-operators	(Number of H-operators)^2
0.8695652174	-0.6530813984	0.5804299689	0.0640240716	0.1429981020	1.2200707810	97.1779403150
0.8849557522	-0.6652771221	0.5982098234	0.0637850756	0.1484414777	1.2524576302	102.3509291667
0.9009009009	-0.6769695910	0.6068068760	0.0635118478	0.1548113852	1.2855581900	107.7704753467
0.9174311927	-0.6894639349	0.6133960186	0.0628611430	0.1610726667	1.3206091143	113.6562194500
0.9345794393	-0.7016909434	0.6216004925	0.0626447503	0.1674992125	1.3567205077	119.8873102833
0.9523809524	-0.7142530547	0.6281940341	0.0620375496	0.1740533195	1.3945267188	126.5877834500
0.9708737864	-0.7274255491	0.6325428856	0.0616038759	0.1808430054	1.4343937372	133.8497503000
0.9900990099	-0.7394730259	0.6311832104	0.0610677470	0.1874425373	1.4747257683	141.3932761000
1.0101010100	-0.7518514371	0.6203274406	0.0605275410	0.1941247470	1.5170216537	149.5206835000
1.0309278350	-0.7643701256	0.6185253948	0.0598548110	0.2011844473	1.5612063150	158.2669313333
